Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RmqBucket, 179443, 25    , 2.3   , 4752  , 17.5  , 17.40 , 17.46 , 17.61 
RMQHeuristic, RmqBucket, 179443, 29    , 2.5   , 4591  , 22.0  , 21.87 , 21.97 , 22.19 
RMQHeuristic, RmqBucket, 179443, 33    , 2.8   , 4335  , 24.6  , 24.58 , 24.61 , 24.67 
RMQHeuristic, RmqBucket, 179443, 37    , 3.1   , 4047  , 26.2  , 26.09 , 26.16 , 26.34 
RMQHeuristic, RmqBucket, 179443, 41    , 3.4   , 3577  , 25.8  , 25.70 , 25.81 , 25.96 
RMQHeuristic, RmqBucket, 179443, 45    , 3.7   , 3157  , 26.6  , 26.50 , 26.59 , 26.64 
RMQHeuristic, RmqBucket, 179443, 49    , 4.1   , 2624  , 27.2  , 26.35 , 26.68 , 29.78 

RMQHeuristic, RmqBucket, 177631, 5     , 1.4   , 1868  , 5.9   , 4.62  , 4.65  , 8.63  
RMQHeuristic, RmqBucket, 177631, 9     , 1.6   , 3177  , 9.8   , 9.49  , 9.72  , 10.16 
RMQHeuristic, RmqBucket, 177631, 13    , 1.7   , 4057  , 10.3  , 10.27 , 10.29 , 10.34 
RMQHeuristic, RmqBucket, 177631, 17    , 1.9   , 4535  , 10.8  , 10.78 , 10.82 , 10.91 
RMQHeuristic, RmqBucket, 177631, 21    , 2.1   , 4664  , 14.0  , 13.99 , 14.02 , 14.02 
RMQHeuristic, RmqBucket, 177631, 25    , 2.3   , 4709  , 17.3  , 17.16 , 17.27 , 17.43 
RMQHeuristic, RmqBucket, 177631, 29    , 2.5   , 4465  , 21.6  , 21.57 , 21.64 , 21.70 
RMQHeuristic, RmqBucket, 177631, 33    , 2.8   , 4108  , 24.4  , 24.31 , 24.39 , 24.71 
RMQHeuristic, RmqBucket, 177631, 37    , 3.1   , 3625  , 25.9  , 25.77 , 25.89 , 26.05 
RMQHeuristic, RmqBucket, 177631, 41    , 3.4   , 3135  , 25.5  , 25.43 , 25.46 , 25.56 
RMQHeuristic, RmqBucket, 177631, 45    , 3.7   , 2692  , 26.2  , 26.10 , 26.27 , 26.39 
RMQHeuristic, RmqBucket, 177631, 49    , 4.1   , 2294  , 26.4  , 26.19 , 26.24 , 27.18 
